Achievements_ID,Achievements_Type,Condition_Key,Condition_Value,Cumulative_Or_Not,Reward_Type,Reward_ID,Reward_Value,Exposure_Or_Not,Sort_Order,Achievement_Name,Achievement_Desc
2510101,1,LOGIN_DAYS,1,0,1,0,100,1,1,9300689,9300690
2560102,6,TUTORIAL_CLEAR,1,0,1,0,100,1,2,9300691,9300692
2520103,2,STAGE_MAX_CLEAR,1,0,1,0,200,1,4,9300693,9300694
2520104,2,STAGE_MAX_CLEAR,5,0,1,0,1000,1,5,9300695,9300696
2520105,2,STAGE_MAX_CLEAR,10,0,1,0,10000,1,6,9300697,9300698
2521106,2,MONSTER_KILL,10000,1,1,0,2000,1,40,9300699,9300700
2521107,2,MONSTER_KILL,100000,1,1,0,10000,1,41,9300701,9300702
2521108,2,MONSTER_KILL,1000000,1,1,0,20000,1,42,9300703,9300704
2511209,1,LOGIN_DAYS,30,1,2,5102,3,1,55,9300705,9300706
2511210,1,LOGIN_DAYS,100,1,2,5102,6,1,56,9300707,9300708
2511211,1,LOGIN_DAYS,200,1,2,5102,10,1,57,9300709,9300710
2511212,1,LOGIN_DAYS,365,1,2,5102,20,1,58,9300711,9300712
2520113,2,BARRIER_NO_DAMAGE_CLEAR,1,0,1,0,500,1,13,9300713,9300714
2550114,5,DECK_FULL_FIRST,1,0,1,0,300,1,3,9300715,9300716
2541215,4,UNIT_COLLECT_COUNT,10,1,2,5102,2,1,38,9300717,9300718
2541216,4,UNIT_COLLECT_COUNT,20,1,2,5102,5,1,39,9300719,9300720
2520117,2,UNIT_COMBINE_FIRST,1,0,1,0,300,1,9,9300721,9300722
2521218,2,UNIT_COMBINE_COUNT,50,1,2,5102,5,1,10,9300723,9300724
2521219,2,UNIT_COMBINE_COUNT,100,1,2,5102,10,1,11,9300725,9300726
2521220,2,UNIT_COMBINE_COUNT,200,1,2,5102,20,1,12,9300727,9300728
2520121,2,UNIT_COMBINE_GET_STAR2,1,0,1,0,1000,1,7,9300729,9300730
2520122,2,UNIT_COMBINE_GET_STAR3,1,0,1,0,2000,1,8,9300731,9300732
2550223,5,UNIT_UPGRADE_NORMAL_SUCCESS,1,0,2,5201,3,1,26,9300733,9300734
2551224,5,UNIT_UPGRADE_NORMAL_SUCCESS_COUNT,10,1,2,5201,10,1,27,9300735,9300736
2551225,5,UNIT_UPGRADE_NORMAL_SUCCESS_COUNT,50,1,2,5201,50,1,28,9300737,9300738
2551226,5,UNIT_UPGRADE_NORMAL_SUCCESS_COUNT,100,1,2,5201,100,1,29,9300739,9300740
2551227,5,UNIT_UPGRADE_NORMAL_SUCCESS_COUNT,200,1,2,5201,200,1,30,9300741,9300742
2550228,5,UNIT_UPGRADE_NORMAL_MAX_LEVEL,1,0,2,5201,300,1,31,9300743,9300744
2551229,5,UNIT_UPGRADE_HERO_SUCCESS,1,1,2,5102,3,1,32,9300745,9300746
2551230,5,UNIT_UPGRADE_HERO_SUCCESS_COUNT,10,1,2,5102,5,1,33,9300747,9300748
2551231,5,UNIT_UPGRADE_HERO_SUCCESS_COUNT,30,1,2,5102,10,1,34,9300749,9300750
2551232,5,UNIT_UPGRADE_HERO_SUCCESS_COUNT,50,1,2,5102,15,1,35,9300751,9300752
2551233,5,UNIT_UPGRADE_HERO_SUCCESS_COUNT,100,1,2,5102,20,1,36,9300753,9300754
2550234,5,UNIT_UPGRADE_HERO_MAX_LEVEL,1,0,2,5102,30,1,37,9300755,9300756
2530135,3,DUNGEON_CLEAR,1,0,1,0,500,1,14,9300757,9300758
2531136,3,DUNGEON_CLEAR,10,1,1,0,1000,1,18,9300759,9300760
2531137,3,DUNGEON_CLEAR,30,1,1,0,3000,1,19,9300761,9300762
2531138,3,DUNGEON_CLEAR,50,1,1,0,5000,1,20,9300763,9300764
2531139,3,DUNGEON_CLEAR,100,1,1,0,10000,1,21,9300765,9300766
2530240,3,STONE_DUNGEON_CLEAR,1,0,2,5201,5,1,15,9300767,9300768
2531241,3,STONE_DUNGEON_CLEAR,50,1,2,5201,50,1,22,9300769,9300770
2531242,3,STONE_GET,10000,1,2,5201,10000,1,23,9300771,9300772
2531243,3,STONE_BONUS_BIG_SUCCESS,100,1,2,5201,15000,1,51,9300773,9300774
2530144,3,GOLD_DUNGEON_CLEAR,1,0,1,0,1000,1,16,9300775,9300776
2531145,3,GOLD_DUNGEON_CLEAR,50,1,1,0,5000,1,24,9300777,9300778
2531146,3,GOLD_GET,1000000,1,1,0,100000,1,52,9300779,9300780
2530247,3,DICE_DUNGEON_CLEAR,1,0,2,5102,3,1,17,9300781,9300782
2531248,3,DICE_DUNGEON_CLEAR,50,1,2,5102,50,1,25,9300783,9300784
2530249,3,DICE_HIGH_REWARD,1,0,2,5103,3,1,53,9300785,9300786
2540250,4,GACHA_NORMAL,1,0,2,5103,1,1,43,9300787,9300788
2540251,4,GACHA_PREMIUM,1,0,2,5102,1,1,44,9300789,9300790
2540252,4,GACHA_NORMAL_10,10,0,2,5102,3,1,45,9300791,9300792
2540253,4,GACHA_PREMIUM_10,10,0,2,5103,3,1,46,9300793,9300794
2541254,4,GACHA_FREE,10,1,2,5102,3,1,47,9300795,9300796
2540255,4,GACHA_GET_UNIQUE,1,0,2,5102,1,1,48,9300797,9300798
2540256,4,GACHA_GET_LEGEND,1,0,2,5103,2,1,49,9300799,9300800
2540257,4,GACHA_GET_EPIC,1,0,2,5103,3,1,50,9300801,9300802
2541258,4,GACHA_TOTAL,1000,1,2,5103,10,1,54,9300803,9300804
