ATTENDANCE_ID,ATTENDANCE_MONTH,ATTENDANCE_DAY,REWARD_TYPE,REWARD_ID,REWARD_NUM
230101,1,1,1,0,10
230102,1,2,2,5102,1
230103,1,3,2,5201,3
230104,1,4,1,0,10
230105,1,5,2,5104,1
230106,1,6,2,5105,1
230107,1,7,2,5103,1
230108,1,8,1,0,10
230109,1,9,2,5102,1
230110,1,10,2,5201,3
230111,1,11,1,0,10
230112,1,12,2,5104,1
230113,1,13,2,5105,1
230114,1,14,2,5107,10
230115,1,15,1,0,10
230116,1,16,2,5104,1
230117,1,17,2,5105,1
230118,1,18,1,0,10
230119,1,19,2,5106,1
230120,1,20,2,5201,5
230121,1,21,2,5103,2
230122,1,22,1,0,10
230123,1,23,2,5102,1
230124,1,24,2,5201,5
230125,1,25,1,0,10
230126,1,26,2,5106,1
230127,1,27,2,5104,1
230128,1,28,2,5107,30
230201,2,1,1,0,10
230202,2,2,2,5102,1
230203,2,3,2,5201,3
230204,2,4,1,0,10
230205,2,5,2,5104,1
230206,2,6,2,5105,1
230207,2,7,2,5103,1
230208,2,8,1,0,10
230209,2,9,2,5102,1
230210,2,10,2,5201,3
230211,2,11,1,0,10
230212,2,12,2,5104,1
230213,2,13,2,5105,1
230214,2,14,2,5107,10
230215,2,15,1,0,10
230216,2,16,2,5104,1
230217,2,17,2,5105,1
230218,2,18,1,0,10
230219,2,19,2,5106,1
230220,2,20,2,5201,5
230221,2,21,2,5103,2
230222,2,22,1,0,10
230223,2,23,2,5102,1
230224,2,24,2,5201,5
230225,2,25,1,0,10
230226,2,26,2,5106,1
230227,2,27,2,5104,1
230228,2,28,2,5107,30
230301,3,1,1,0,10
230302,3,2,2,5102,1
230303,3,3,2,5201,3
230304,3,4,1,0,10
230305,3,5,2,5104,1
230306,3,6,2,5105,1
230307,3,7,2,5103,1
230308,3,8,1,0,10
230309,3,9,2,5102,1
230310,3,10,2,5201,3
230311,3,11,1,0,10
230312,3,12,2,5104,1
230313,3,13,2,5105,1
230314,3,14,2,5107,10
230315,3,15,1,0,10
230316,3,16,2,5104,1
230317,3,17,2,5105,1
230318,3,18,1,0,10
230319,3,19,2,5106,1
230320,3,20,2,5201,5
230321,3,21,2,5103,2
230322,3,22,1,0,10
230323,3,23,2,5102,1
230324,3,24,2,5201,5
230325,3,25,1,0,10
230326,3,26,2,5106,1
230327,3,27,2,5104,1
230328,3,28,2,5107,30
230401,4,1,1,0,10
230402,4,2,2,5102,1
230403,4,3,2,5201,3
230404,4,4,1,0,10
230405,4,5,2,5104,1
230406,4,6,2,5105,1
230407,4,7,2,5103,1
230408,4,8,1,0,10
