Hero_Enforce_EffectID,SkillID1,SkillID2,Skill_Damage_Up,Attack_Up,Duration_Up,Projectile,CoolTime_Down,Attack_Speed,Enforce_Effect_DESCRIPTION,Enforce_Effect_DESCRIPTION
13301,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13301,공격력 30% 증가
13302,21001,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13302,화염 포화 투사체 1개 증가
13303,0,21002,0,0,0,0,0.9,0,Enforce_Effect_DESCRIPTION_13303,메테오 스트라이크 쿨타임 10% 감소
13304,21001,21002,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13304,스킬 데미지 20% 증가
13305,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13305,공격력 30% 증가
13306,21003,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13306,로워 슬래시 투사체 1개 증가
13307,0,21004,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13307,그레이트 로워 슬래시 투사체 1개 증가
13308,21003,21004,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13308,스킬 쿨타임 20% 감소
13309,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13309,공격력 30% 증가
13310,21005,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13310,서리의 창 투사체 1개 증가
13311,0,21006,0,0,0,0,0.9,0,Enforce_Effect_DESCRIPTION_13311,영구동토 쿨타임 10% 감소
13312,21005,21006,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13312,스킬 데미지 20% 증가
13313,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13313,공격력 30% 증가
13314,21007,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13314,골드 스트라이크 투사체 1개 증가
13315,0,21008,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13315,골드 슬래시 투사체 1개 증가
13316,21007,21008,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13316,스킬 쿨타임 20% 감소
13317,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13317,공격력 30% 증가
13318,21009,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13318,블로우 투사체 1개 증가
13319,0,21010,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13319,파워 블로우 투사체 1개 증가
13320,21009,21010,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13320,스킬 데미지 20% 증가
13321,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13321,공격력 30% 증가
13322,21011,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13322,블루 스트라이크 투사체 1개 증가
13323,0,21012,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13323,블루 슬래시 투사체 1개 증가
13324,21011,21012,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13324,스킬 쿨타임 20% 감소
13325,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13325,공격력 30% 증가
13326,21013,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13326,블루 애로우 투사체 1개 증가
13327,0,21014,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13327,멀티 블루 애로우 투사체 1개 증가
13328,21013,21014,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13328,스킬 쿨타임 20% 감소
13329,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13329,공격력 30% 증가
13330,21015,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13330,강타 투사체 1개 증가
13331,0,21016,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13331,초강타 투사체 1개 증가
13332,21015,21016,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13332,스킬 데미지 20% 증가
13333,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13333,공격력 30% 증가
13334,21017,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13334,그린 애로우 투사체 1개 증가
13335,0,21018,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13335,멀티 그린 애로우 투사체 1개 증가
13336,21017,21018,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13336,스킬 쿨타임 20% 감소
13337,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13337,공격력 30% 증가
13338,21019,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13338,아크 임팩트 투사체 1개 증가
13339,0,21020,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13339,웨이브 블래스트 데미지 20% 증가
13340,21019,21020,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13340,스킬 쿨타임 20% 감소
13341,0,0,0,1.3,0,0,,0,Enforce_Effect_DESCRIPTION_13341,공격력 30% 증가
13342,21021,0,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13342,쉐도우 스파이크 쿨타임 20% 감소
13343,,21022,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13343,나이트 스파인 쿨타임 20% 감소
13344,21021,21022,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13344,스킬 데미지 20% 증가
13345,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13345,공격력 30% 증가
13346,21023,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13346,스트라이크 투사체 1개 증가
13347,0,21024,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13347,파워 스트라이크 투사체 1개 증가
13348,21023,21024,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13348,스킬 데미지 20% 증가
13349,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13349,공격력 30% 증가
13350,21025,0,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13350,그림자 일격 쿨타임 20% 감소
13351,0,21026,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13351,그림자 난무 쿨타임 20% 감소
13352,21025,21026,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13352,스킬 데미지 20% 증가
13353,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13353,공격력 30% 증가
13354,21027,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13354,단공참 투사체 1개 증가
13355,0,21028,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13355,진단공참 투사체 1개 증가
13356,21027,21028,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13356,스킬 데미지 20% 증가
13357,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13357,공격력 30% 증가
