Hero_EnforceID,Hero_Enforce_LV,Hero_Enforce_EffectID,IngredientID,IngredientNum,Gold_Cost,Apply_Unit_ID_1,Apply_Unit_ID_2,Apply_Unit_ID_3
121901,1,13301,5208,5,20000,11101,11202,11303
122902,2,13302,5208,10,40000,11101,11202,11303
123903,3,13303,5208,15,60000,11101,11202,11303
124904,4,13304,5208,20,80000,11101,11202,11303
121905,1,13305,5209,5,20000,11104,11205,11306
122906,2,13306,5209,10,40000,11104,11205,11306
123907,3,13307,5209,15,60000,11104,11205,11306
124908,4,13308,5209,20,80000,11104,11205,11306
121909,1,13309,5210,5,20000,11107,11208,11309
122910,2,13310,5210,10,40000,11107,11208,11309
123911,3,13311,5210,15,60000,11107,11208,11309
124912,4,13312,5210,20,80000,11107,11208,11309
121913,1,13313,5211,5,20000,11110,11211,11312
122914,2,13314,5211,10,40000,11110,11211,11312
123915,3,13315,5211,15,60000,11110,11211,11312
124916,4,13316,5211,20,80000,11110,11211,11312
121917,1,13317,5212,5,20000,11113,11214,11315
122918,2,13318,5212,10,40000,11113,11214,11315
123919,3,13319,5212,15,60000,11113,11214,11315
124920,4,13320,5212,20,80000,11113,11214,11315
121921,1,13321,5213,5,20000,11116,11217,11318
122922,2,13322,5213,10,40000,11116,11217,11318
123923,3,13323,5213,15,60000,11116,11217,11318
124924,4,13324,5213,20,80000,11116,11217,11318
121925,1,13325,5214,5,20000,11119,11220,11321
122926,2,13326,5214,10,40000,11119,11220,11321
123927,3,13327,5214,15,60000,11119,11220,11321
124928,4,13328,5214,20,80000,11119,11220,11321
121929,1,13329,5215,5,20000,11122,11223,11324
122930,2,13330,5215,10,40000,11122,11223,11324
123931,3,13331,5215,15,60000,11122,11223,11324
124932,4,13332,5215,20,80000,11122,11223,11324
121933,1,13333,5216,5,20000,11125,11226,11327
122934,2,13334,5216,10,40000,11125,11226,11327
123935,3,13335,5216,15,60000,11125,11226,11327
124936,4,13336,5216,20,80000,11125,11226,11327
121937,1,13337,5217,5,20000,11128,11229,11330
122938,2,13338,5217,10,40000,11128,11229,11330
123939,3,13339,5217,15,60000,11128,11229,11330
124940,4,13340,5217,20,80000,11128,11229,11330
121941,1,13341,5218,5,20000,12131,12232,12333
122942,2,13342,5218,10,40000,12131,12232,12333
123943,3,13343,5218,15,60000,12131,12232,12333
