ITEM_ID,ITEM_NAME,ITEM_TYPE,ITEM_STACK,PACKAGE_ID,ITEM_ICON,ITEM_DESCRIPTION
5201,9300547,2,999,0,item_stone,9300548
5102,9300549,1,999,0,폴더 경로,9300550
5103,9300551,1,999,0,폴더 경로,9300552
5104,9300553,1,999,0,item_Key,9300554
5105,9300555,1,999,0,폴더 경로,9300556
5106,9300557,1,999,0,폴더 경로,9300558
5107,9300559,1,9999999,0,폴더 경로,9300560
5208,9300561,2,999,0,폴더 경로,9300562
5209,9300563,2,999,0,폴더 경로,9300564
5210,9300565,2,999,0,폴더 경로,9300566
5211,9300567,2,999,0,폴더 경로,9300568
5212,9300569,2,999,0,폴더 경로,9300570
5213,9300571,2,999,0,폴더 경로,9300572
5214,9300573,2,999,0,폴더 경로,9300574
5215,9300575,2,999,0,폴더 경로,9300576
5216,9300577,2,999,0,폴더 경로,9300578
5217,9300579,2,999,0,폴더 경로,9300580
5218,9300581,2,999,0,폴더 경로,9300582
5219,9300583,2,999,0,폴더 경로,9300584
5220,9300585,2,999,0,폴더 경로,9300586
5221,9300587,2,999,0,폴더 경로,9300588
5222,9300589,2,999,0,폴더 경로,9300590
5223,9300591,2,999,0,폴더 경로,9300592
5224,9300593,2,999,0,폴더 경로,9300594
5225,9300595,2,999,0,폴더 경로,9300596
5226,9300597,2,999,0,폴더 경로,9300598
5227,9300599,2,999,0,폴더 경로,9300600
5228,9300601,2,999,0,폴더 경로,9300902
5229,9300603,2,999,0,폴더 경로,9300904
5230,9300605,2,999,0,폴더 경로,9300606
5231,9300607,2,999,0,폴더 경로,9300608
5232,9300609,2,999,0,폴더 경로,9300610
5233,9300611,2,999,0,폴더 경로,9300612
5234,9300613,2,999,0,폴더 경로,9300614
5235,9300615,2,999,0,폴더 경로,9300616
5236,9300617,2,999,0,폴더 경로,9300618
5137,9300619,1,999,0,폴더 경로,9300620
5338,9300621,3,999,2001,폴더 경로,9300622
5339,9300623,3,1,0,폴더 경로,9300624
5340,9300625,3,1,0,폴더 경로,9300626
5341,9300627,3,999,2002,폴더 경로,9300628
5342,9300629,3,1,2003,폴더 경로,9300630
