Normal_EnforceID,Normal_Enforce_LV,AttackUp,IngredientID,IngredientNum,Gold_Cost,Class
1111801,1,5,501,3,500,1
1121802,2,10,501,6,1000,1
1131803,3,15,501,9,1500,1
1141804,4,20,501,12,2000,1
1151805,5,25,501,15,2500,1
1161806,6,30,501,18,3000,1
1171807,7,35,501,21,3500,1
1181808,8,40,501,24,4000,1
1191809,9,45,501,27,4500,1
11101810,10,50,501,30,5000,1
11111811,11,55,501,33,5500,1
11121812,12,60,501,36,6000,1
11131813,13,65,501,39,6500,1
11141814,14,70,501,42,7000,1
11151815,15,75,501,45,7500,1
11161816,16,80,501,48,8000,1
11171817,17,85,501,51,8500,1
11181818,18,90,501,54,9000,1
11191819,19,95,501,57,9500,1
11201820,20,100,501,60,10000,1
1112821,1,7,501,5,700,2
1122822,2,14,501,10,1400,2
1132823,3,21,501,15,2100,2
1142824,4,28,501,20,2800,2
1152825,5,35,501,25,3500,2
1162826,6,42,501,30,4200,2
1172827,7,49,501,35,4900,2
1182828,8,56,501,40,5600,2
1192829,9,63,501,45,6300,2
11102830,10,70,501,50,7000,2
11112831,11,77,501,55,7700,2
11122832,12,84,501,60,8400,2
11132833,13,91,501,65,9100,2
11142834,14,98,501,70,9800,2
11152835,15,105,501,75,10500,2
11162836,16,112,501,80,11200,2
11172837,17,119,501,85,11900,2
11182838,18,126,501,90,12600,2
11192839,19,133,501,95,13300,2
11202840,20,140,501,100,14000,2
1113841,1,10,501,7,900,3
1123842,2,20,501,14,1800,3
1133843,3,30,501,21,2700,3
1143844,4,40,501,28,3600,3
1153845,5,50,501,35,4500,3
1163846,6,60,501,42,5400,3
1173847,7,70,501,49,6300,3
1183848,8,80,501,56,7200,3
1193849,9,90,501,63,8100,3
11103850,10,100,501,70,9000,3
11113851,11,110,501,77,9900,3
11123852,12,120,501,84,10800,3
11133853,13,130,501,91,11700,3
11143854,14,140,501,98,12600,3
11153855,15,150,501,105,13500,3
11163856,16,160,501,112,14400,3
11173857,17,170,501,119,15300,3
11183858,18,180,501,126,16200,3
11193859,19,190,501,133,17100,3
11203860,20,200,501,140,18000,3
1114861,1,15,501,10,1000,4
1124862,2,30,501,20,2000,4
1134863,3,45,501,30,3000,4
1144864,4,60,501,40,4000,4
1154865,5,75,501,50,5000,4
1164866,6,90,501,60,6000,4
1174867,7,105,501,70,7000,4
1184868,8,120,501,80,8000,4
1194869,9,135,501,90,9000,4
11104870,10,150,501,100,10000,4
11114871,11,165,501,110,11000,4
11124872,12,180,501,120,12000,4
11134873,13,195,501,130,13000,4
11144874,14,210,501,140,14000,4
11154875,15,225,501,150,15000,4
11164876,16,240,501,160,16000,4
11174877,17,255,501,170,17000,4
11184878,18,270,501,180,18000,4
11194879,19,285,501,190,19000,4
11204880,20,300,501,200,20000,4
1115881,1,20,501,15,1500,5
1125882,2,40,501,30,3000,5
1135883,3,60,501,45,4500,5
1145884,4,80,501,60,6000,5
1155885,5,100,501,75,7500,5
1165886,6,120,501,90,9000,5
1175887,7,140,501,105,10500,5
1185888,8,160,501,120,12000,5
1195889,9,180,501,135,13500,5
11105890,10,200,501,150,15000,5
11115891,11,220,501,165,16500,5
11125892,12,240,501,180,18000,5
11135893,13,260,501,195,19500,5
11145894,14,280,501,210,21000,5
11155895,15,300,501,225,22500,5
11165896,16,320,501,240,24000,5
11175897,17,340,501,255,25500,5
11185898,18,360,501,270,27000,5
11195899,19,380,501,285,28500,5
112058100,20,400,501,300,30000,5
