Quest_ID,Quest_Type,Category,Condition_Key,Condition_Value,Cumulative_Or_Not,Reward_Type,Reward_ID,Reward_Value,Reset_Cycle_Type,Exposure_Or_Not,Sort_Order,Quest_Name,Quest_Desc,ORDER 1,ORDER 2
291201,1,2,STAGE_CLEAR,1,0,1,0,300,1,1,2,9300805,9300806,29,01
291202,1,2,MONSTER_KILL,1500,1,1,0,400,1,1,11,9300807,9300808,29,02
291203,1,2,BOSS_MONSTER_KILL,2,1,1,0,500,1,1,3,9300809,9300810,29,03
291304,1,3,STONE_DUNGEON_CLEAR,3,1,2,5201,5,1,1,4,9300811,9300812,29,04
291305,1,3,GOLD_DUNGEON_CLEAR,3,1,1,0,1000,1,1,5,9300813,9300814,29,05
291306,1,3,DICE_DUNGEON_CLEAR,3,1,2,5102,1,1,1,6,9300815,9300816,29,06
291507,1,5,UNIT_UPGRADE_NORMAL_SUCCESS,1,0,2,5201,5,1,1,7,9300817,9300818,29,07
291508,1,5,UNIT_UPGRADE_HERO_SUCCESS,1,0,1,0,1000,1,1,8,9300819,9300820,29,08
291409,1,4,GACHA_NORMAL,2,1,2,5102,2,1,1,9,9300821,9300822,29,09
291410,1,4,GACHA_PREMIUM,1,0,1,0,2000,1,1,10,9300823,9300824,29,10
291111,1,1,LOGIN_DAYS,1,0,1,0,200,1,1,1,9300825,9300826,29,11
292212,2,2,STAGE_CLEAR_COUNT,18,1,1,0,3000,2,1,18,9300827,9300828,29,12
292213,2,2,MONSTER_KILL,25000,1,1,0,3000,2,1,20,9300829,9300830,29,13
292214,2,2,BOSS_MONSTER_KILL,36,1,1,0,4000,2,1,19,9300831,9300832,29,14
292315,2,3,STONE_DUNGEON_CLEAR,18,1,2,5201,50,2,1,15,9300833,9300834,29,15
292316,2,3,GOLD_DUNGEON_CLEAR,18,1,1,0,10000,2,1,16,9300835,9300836,29,16
292317,2,3,DICE_DUNGEON_CLEAR,18,1,2,5102,10,2,1,17,9300837,9300838,29,17
292418,2,4,GACHA_NORMAL,10,1,2,5102,5,2,1,12,9300839,9300840,29,18
292419,2,4,GACHA_PREMIUM,10,1,2,5103,1,2,1,13,9300841,9300842,29,19
292120,2,1,LOGIN_DAYS_COUNT,5,1,2,5103,1,2,1,14,9300843,9300848,29,20
