SELLING_ID,SELLING_NAME,SELLING_ITEM,SELLING_AMOUNT,SELLING_MONEY,SELLING_PRICE,SELLING_START,SELLING_END,SELLING_LIMIT,SELLING_NUM,SELLING_NOW
212001,9300660,5201,1,2,10,2025-11-17,2999-11-17,0,0,1
211102,9300661,5102,1,1,1000,2025-11-17,2999-11-17,1,3,1
212003,9300662,5103,1,2,30,2025-11-17,2999-11-17,0,0,1
212004,9300663,5104,1,2,10,2025-11-17,2999-11-17,0,0,1
212005,9300664,5105,1,2,10,2025-11-17,2999-11-17,0,0,1
212006,9300665,5106,1,2,10,2025-11-17,2999-11-17,0,0,1
213007,9300666,5107,50,3,1500,2025-11-17,2999-11-17,0,0,1
213008,9300667,5107,150,3,4500,2025-11-17,2999-11-17,0,0,1
213009,9300668,5107,300,3,9000,2025-11-17,2999-11-17,0,0,1
213010,9300669,5107,550,3,15900,2025-11-17,2999-11-17,0,0,1
213011,9300670,5107,800,3,22900,2025-11-17,2999-11-17,0,0,1
213012,9300671,5107,1500,3,43900,2025-11-17,2999-11-17,0,0,1
212013,9300672,0,1500,2,30,2025-11-17,2999-11-17,0,0,1
212014,9300673,0,3000,2,60,2025-11-17,2999-11-17,0,0,1
212015,9300674,0,5000,2,90,2025-11-17,2999-11-17,0,0,1
212016,9300675,0,7500,2,130,2025-11-17,2999-11-17,0,0,1
212017,9300676,0,10000,2,200,2025-11-17,2999-11-17,0,0,1
212018,9300677,0,13000,2,230,2025-11-18,2999-11-18,0,0,1
212019,9300678,5137,100,2,50,2025-11-17,2999-11-17,0,0,1
212020,9300679,5137,300,2,150,2025-11-17,2999-11-17,0,0,1
212021,9300680,5137,600,2,300,2025-11-17,2999-11-17,0,0,1
212022,9300681,5338,1,2,100,2025-11-17,2999-11-17,0,0,1
213323,9300682,5339,1,3,12900,2025-11-17,2999-11-17,3,1,1
213424,9300683,5340,1,3,9900,2025-11-17,2999-11-17,4,1,1
212225,9300684,5341,1,2,100,2025-11-17,2999-11-17,2,1,1
213326,9300685,5342,1,3,10900,2025-11-17,2999-11-17,3,6,1
