STAGE_LEV_ID,STAGE_LEV,STAGE_EXP_NEED,STAGE_EXP_POINTS
28101,1,0,0
28202,2,100,100
28303,3,150,250
28404,4,200,450
28505,5,250,700
28606,6,300,1000
28707,7,350,1350
28808,8,400,1750
28909,9,450,2200
281010,10,500,2700
281111,11,550,3250
281212,12,600,3850
281313,13,650,4500
281414,14,700,5200
281515,15,750,5950
281616,16,800,6750
281717,17,850,7600
281818,18,900,8500
281919,19,950,9450
282020,20,1000,10450
282121,21,1050,11500
282222,22,1100,12600
282323,23,1150,13750
282424,24,1200,14950
282525,25,1250,16200
282626,26,1300,17500
282727,27,1350,18850
282828,28,1400,20250
282929,29,1450,21700
283030,30,1500,23200
283131,31,1550,24750
283232,32,1600,26350
283333,33,1650,28000
283434,34,1700,29700
283535,35,1750,31450
283636,36,1800,33250
283737,37,1850,35100
283838,38,1900,37000
283939,39,1950,38950
284040,40,2000,40950
284141,41,2050,43000
284242,42,2100,45100
284343,43,2150,47250
284444,44,2200,49450
284545,45,2250,51700
284646,46,2300,54000
284747,47,2350,56350
284848,48,2400,58750
284949,49,2450,61200
285050,50,2500,63700
