ID,String
93001,밀리아 1성
93002,밀리아 2성
93003,밀리아 3성
93004,가렌트 1성
93005,가렌트 2성
93006,가렌트 3성
93007,리브 1성
93008,리브 2성
93009,리브 3성
93010,타론 1성
93011,타론 2성
93012,타론 3성
93013,엘렌 1성
93014,엘렌 2성
93015,엘렌 3성
93016,로웬 1성
93017,로웬 2성
93018,로웬 3성
93019,카일렌 1성
93020,카일렌 2성
93021,카일렌 3성
93022,라제르 1성
93023,라제르 2성
93024,라제르 3성
93025,루시안 1성
93026,루시안 2성
93027,루시안 3성
93028,모라 1성
93029,모라 2성
93030,모라 3성
93031,루미나 1성
93032,루미나 2성
93033,루미나 3성
93034,볼드 1성
93035,볼드 2성
93036,볼드 3성
93037,에리나 1성
93038,에리나 2성
93039,에리나 3성
93040,이리스 1성
93041,이리스 2성
93042,이리스 3성
93043,미라나 1성
93044,미라나 2성
93045,미라나 3성
93046,로안 1성
93047,로안 2성
93048,로안 3성
93049,칼렌 1성
93050,칼렌 2성
93051,칼렌 3성
93052,자르크 1성
93053,자르크 2성
93054,자르크 3성
93055,프리오 1성
93056,프리오 2성
93057,프리오 3성
93058,카르노 1성
93059,카르노 2성
93060,카르노 3성
93061,시온 1성
93062,시온 2성
93063,시온 3성
93064,아델 1성
93065,아델 2성
93066,아델 3성
93067,리델 1성
93068,리델 2성
93069,리델 3성
93070,바론 1성
93071,바론 2성
93072,바론 3성
93073,세리카 1성
93074,세리카 2성
93075,세리카 3성
93076,루시 1성
93077,루시 2성
93078,루시 3성
93079,아리온 1성
93080,아리온 2성
93081,아리온 3성
93082,케인 1성
93083,케인 2성
93084,케인 3성
93085,발렌 1성
93086,발렌 2성
93087,발렌 3성
93088,얼음 조각
93089,서리의 창
93090,어둠의 창
93091,그림자 베기
93092,빛의 흔적
93093,심판의 검
93094,집중 사격
93095,유성강하
93096,덩굴 결박
93097,붉은 꽃
93098,독의 숨결
93099,부패의 씨앗
930100,공포의 울음
930101,망령의 포옹
930102,빛의 사슬
930103,낙뢰
930104,암흑 장막
930105,불길한 낙인
930106,재의 회오리
930107,지옥불
930108,냉각의 사슬
930109,한기의 심장
930110,피의 맹세
930111,붉은 계약
930112,영혼 포식
930113,암영의 칼날
930114,환영 파동
930115,환상의 칼날
930116,블래스터 샷
930117,네오 크래시
930118,파멸의 구체
930119,재앙의 파동
930120,붉은 폭렬
930121,화염포화
930122,독1
930123,독2
930124,기절1
930125,기절2
930126,빙결1
930127,빙결2
930128,감전1
930129,감전2
930130,출혈1
930131,출혈2
930132,저주1
930133,저주2
930134,속박1
930135,속박2
930136,중독1
930137,중독2
930138,암흑1
930139,암흑2
930140,섬광1
930141,섬광2
930142,속박3
930143,속박4
930144,감전3
930145,감전4
930146,지진
930147,이터널 블리자드
930148,블랙홀
930149,에어 포스
930150,혼돈의 파동
930151,발목 잡기
930152,슈퍼 노바
930153,용기의 깃발
930154,그레이트 슬로우
930155,피해량 증가 (1성)
930156,치명타 확률 증가 (1성)
930157,치명타 피해량 증가 (1성)
930158,획득 경험치 증가 (1성)
930159,초당 방벽 회복 (1성)
930160,보스 피해량 증가 (1성)
930161,피해량 증가 (2성)
930162,치명타 확률 증가 (2성)
930163,치명타 피해량 증가 (2성)
930164,획득 경험치 증가 (2성)
930165,초당 방벽 회복 (2성)
930166,보스 피해량 증가 (2성)
930167,피해량 증가 (3성)
