StringID,"TutoText",,,ORDER 1,ORDER 2,ORDER 3,Voice
103101,"안녕하세요, 길드장 님! 몬스터들이 몰려오고 있어요. 방벽을 방어하러 가볼까요?",,게임 처음 접속 시 로비에서,31,01,10,Tut_01
103102,비어 있는 타일 위에 모험가를 배치해 몬스터를 공격할 수 있어요.,,1 스테이지 시작 직후 (1 레벨),31,02,10,Tut_02
103103,"배치할 수 없는 곳이면 타일이 빨갛게, 배치할 수 있으면 초록색으로 보일 거예요.",,,31,03,10,Tut_03
103104,엘렌을 타일 위로 드래그 해 배치해 보세요.,,,31,04,10,Tut_04
103105,좋아요! 타일 위의 모험가는 언제든 원하는 위치로 이동시킬 수 있어요.,,지정한 위치에 엘렌 배치 후,31,05,10,Tut_05
103106,이제 완료 버튼을 눌러 몰려오는 몬스터를 막아봐요!,,,31,06,10,Tut_06
103107,배치된 모험가는 자동으로 몬스터를 공격해요. 몬스터가 떨어뜨리는 경험치로 레벨 업을 할 수 있어요.,,,31,07,10,Tut_07
103108,몬스터가 방벽에 다다르면 방벽의 내구도가 깎여요. 내구도가 다 닳으면 패배하니 내구도를 신경 쓰며 몬스터를 막아야 해요.,,,31,08,10,Tut_08
103109,전투는 1배속부터 3배속까지 조절할 수 있어요.,,,31,09,10,Tut_09
103110,일시정지 버튼을 눌러 전투를 잠깐 멈출 수 있어요. 일시정지 메뉴에서는 볼륨을 조절하고 보유 중인 스킬과 아이템을 확인할 수 있어요.,,,31,10,10,Tut_10
103111,"상단에서는 남은 몬스터 수와 스테이지 진행 시간을 확인할 수 있어요.",,,31,11,10,Tut_11
103112,이번에는 엘렌을 합성해 볼까요?,,2 레벨,31,12,10,Tut_12
103113,"좋아요! 이제 몬스터를 해치워봐요! 아 참, 타일을 다 채우면 좋은 일이 생긴다고 해요. 꼭 도전해 봐요!",,지정한 위치에 엘렌 배치 후,31,13,10,Tut_13
103114,"타일을 다 채우면 컴플리트 버프를 받을 수 있어요.",,스테이지 다 채워 컴플리트 버프를 받으면,31,14,10,Tut_14
103115,획득한 버프 정보는 별 아이콘을 꾹 눌러 확인할 수 있어요.,,,31,15,10,Tut_15
103116,"와, 모든 몬스터를 해치웠어요! 길드에 새로운 기능이 해금된 것 같은데 로비로 나가 확인해 볼까요?",,1 스테이지 클리어 후 보상 창이 뜨면,31,16,10,Tut_16
103117,메뉴에서 업적과 퀘스트를 확인할 수 있어요.,,,31,17,10,Tut_17
103118,퀘스트는 매일 갱신되는 일일 미션이에요.,,,31,18,10,Tut_18
103119,완료된 퀘스트가 있네요. 터치하면 보상을 받을 수 있어요.,,,31,19,10,Tut_19
